image_id,criterion,cluster_id
3345486.jpg,composition_style,Simple
2367255.jpg,composition_style,Visually Appealing
920014.jpg,composition_style,Simple
116205.jpg,composition_style,Unknown
331185.jpg,composition_style,Intricate
2147574.jpg,composition_style,Unknown
3353357.jpg,composition_style,Simple
3805904.jpg,composition_style,Intricate
2228274.jpg,composition_style,Simple
2478048.jpg,composition_style,Visually Appealing
1593883.jpg,composition_style,Simple
2941936.jpg,composition_style,Intricate
2055421.jpg,composition_style,Simple
1653147.jpg,composition_style,Unknown
2323393.jpg,composition_style,Visually Appealing
2860692.jpg,composition_style,Visually Appealing
297526.jpg,composition_style,Visually Appealing
162813.jpg,composition_style,Visually Appealing
3433392.jpg,composition_style,Visually Appealing
3712855.jpg,composition_style,Unknown
528024.jpg,composition_style,Simple
3257568.jpg,composition_style,Visually Appealing
377092.jpg,composition_style,Intricate
2563550.jpg,composition_style,Visually Appealing
1232408.jpg,composition_style,Simple
1258212.jpg,composition_style,Intricate
360650.jpg,composition_style,Intricate
3048399.jpg,composition_style,Intricate
883821.jpg,composition_style,Unknown
1294920.jpg,composition_style,Simple
1994172.jpg,composition_style,Simple
898352.jpg,composition_style,Intricate
1599908.jpg,composition_style,Visually Appealing
2778816.jpg,composition_style,Unknown
2036876.jpg,composition_style,Simple
2653908.jpg,composition_style,Unknown
707760.jpg,composition_style,Intricate
1742446.jpg,composition_style,Visually Appealing
938063.jpg,composition_style,Simple
2454716.jpg,composition_style,Simple
191302.jpg,composition_style,Simple
1482554.jpg,composition_style,Simple
3719459.jpg,composition_style,Unknown
3637618.jpg,composition_style,Simple
2656659.jpg,composition_style,Visually Appealing
365631.jpg,composition_style,Intricate
3799381.jpg,composition_style,Visually Appealing
3347915.jpg,composition_style,Simple
3287609.jpg,composition_style,Visually Appealing
1278456.jpg,composition_style,Simple
380024.jpg,composition_style,Simple
1247495.jpg,composition_style,Intricate
32666.jpg,composition_style,Simple
2725340.jpg,composition_style,Visually Appealing
1184087.jpg,composition_style,Intricate
619413.jpg,composition_style,Simple
963669.jpg,composition_style,Visually Appealing
3137442.jpg,composition_style,Unknown
3425912.jpg,composition_style,Unknown
2464792.jpg,composition_style,Intricate
778875.jpg,composition_style,Visually Appealing
2822696.jpg,composition_style,Simple
291516.jpg,composition_style,Visually Appealing
1041300.jpg,composition_style,Visually Appealing
3453323.jpg,composition_style,Visually Appealing
3264723.jpg,composition_style,Simple
3644948.jpg,composition_style,Visually Appealing
1290485.jpg,composition_style,Simple
1266239.jpg,composition_style,Unknown
2150887.jpg,composition_style,Simple
3369165.jpg,composition_style,Simple
2091649.jpg,composition_style,Intricate
416339.jpg,composition_style,Simple
2140776.jpg,composition_style,Unknown
1411472.jpg,composition_style,Simple
3901703.jpg,composition_style,Intricate
2802381.jpg,composition_style,Simple
1088723.jpg,composition_style,Intricate
125669.jpg,composition_style,Unknown
3621153.jpg,composition_style,Simple
859685.jpg,composition_style,Visually Appealing
2504302.jpg,composition_style,Simple
2582934.jpg,composition_style,Simple
3882120.jpg,composition_style,Simple
1043579.jpg,composition_style,Intricate
122339.jpg,composition_style,Intricate
3840305.jpg,composition_style,Simple
1579317.jpg,composition_style,Simple
2390235.jpg,composition_style,Simple
2844166.jpg,composition_style,Intricate
1587932.jpg,composition_style,Intricate
1353969.jpg,composition_style,Visually Appealing
2777198.jpg,contextual_setting,Formal Indoor Restaurant
204643.jpg,contextual_setting,Home Kitchen Setting
1438054.jpg,contextual_setting,Casual Dining Establishment
1266914.jpg,contextual_setting,Informal Restaurant Setting
43060.jpg,contextual_setting,Home Kitchen Setting
17835.jpg,contextual_setting,Casual Dining Establishment
221291.jpg,contextual_setting,Informal Restaurant Setting
81547.jpg,contextual_setting,Home Kitchen Setting
3345486.jpg,contextual_setting,Home Kitchen Setting
2367255.jpg,contextual_setting,Fine Dining Restaurant
920014.jpg,contextual_setting,Informal Restaurant Setting
116205.jpg,contextual_setting,Home Kitchen Setting
331185.jpg,contextual_setting,Informal Restaurant Setting
2147574.jpg,contextual_setting,Indoor Dining Restaurant
3353357.jpg,contextual_setting,Fine Dining Restaurant
3805904.jpg,contextual_setting,Home Kitchen Setting
2228274.jpg,contextual_setting,Casual Dining Establishment
2478048.jpg,contextual_setting,Home Kitchen Setting
1593883.jpg,contextual_setting,Informal Restaurant Setting
2941936.jpg,contextual_setting,Restaurant-Like Home Cooking
2055421.jpg,contextual_setting,Informal Restaurant Setting
1653147.jpg,contextual_setting,Informal Restaurant Setting
2323393.jpg,contextual_setting,Restaurant-Like Home Cooking
2860692.jpg,contextual_setting,Home Kitchen Setting
297526.jpg,contextual_setting,Restaurant-Like Home Cooking
162813.jpg,contextual_setting,Indoor Dining Restaurant
3433392.jpg,contextual_setting,Casual Dining Establishment
3712855.jpg,contextual_setting,Restaurant-Like Home Cooking
528024.jpg,contextual_setting,Formal Indoor Restaurant
3257568.jpg,contextual_setting,Upscale Dining Restaurant
377092.jpg,contextual_setting,Informal Restaurant Setting
2563550.jpg,contextual_setting,Indoor Dining Restaurant
1232408.jpg,contextual_setting,Informal Restaurant Setting
1258212.jpg,contextual_setting,Fine Dining Restaurant
360650.jpg,contextual_setting,Fine Dining Restaurant
3048399.jpg,contextual_setting,Fine Dining Restaurant
883821.jpg,contextual_setting,Home Kitchen Setting
1294920.jpg,contextual_setting,Restaurant-Like Home Cooking
1994172.jpg,contextual_setting,Fine Dining Restaurant
898352.jpg,contextual_setting,Informal Restaurant Setting
1599908.jpg,contextual_setting,Restaurant-Like Home Cooking
2778816.jpg,contextual_setting,Casual Dining Establishment
2036876.jpg,contextual_setting,Formal Indoor Restaurant
2653908.jpg,contextual_setting,Informal Restaurant Setting
707760.jpg,contextual_setting,Restaurant-Like Home Cooking
1742446.jpg,contextual_setting,Fine Dining Restaurant
938063.jpg,contextual_setting,Restaurant-Like Home Cooking
2454716.jpg,contextual_setting,Home Kitchen Setting
191302.jpg,contextual_setting,Home Kitchen Setting
1482554.jpg,contextual_setting,Home Kitchen Setting
3719459.jpg,contextual_setting,Home Kitchen Setting
3637618.jpg,contextual_setting,Informal Restaurant Setting
2656659.jpg,contextual_setting,Home Kitchen Setting
365631.jpg,contextual_setting,Home Kitchen Setting
3799381.jpg,contextual_setting,Fine Dining Restaurant
3347915.jpg,contextual_setting,Casual Dining Establishment
3287609.jpg,contextual_setting,Restaurant-Like Home Cooking
1278456.jpg,contextual_setting,Home Kitchen Setting
380024.jpg,contextual_setting,Indoor Dining Restaurant
1247495.jpg,contextual_setting,Fine Dining Restaurant
32666.jpg,contextual_setting,Informal Restaurant Setting
2725340.jpg,contextual_setting,Informal Restaurant Setting
1184087.jpg,contextual_setting,Fine Dining Restaurant
619413.jpg,contextual_setting,Fast-Food Restaurant Setting
963669.jpg,contextual_setting,Casual Dining Establishment
3137442.jpg,contextual_setting,Indoor Dining Restaurant
3425912.jpg,contextual_setting,Informal Restaurant Setting
2464792.jpg,contextual_setting,Home Kitchen Setting
778875.jpg,contextual_setting,Restaurant-Like Home Cooking
2822696.jpg,contextual_setting,Restaurant-Like Home Cooking
291516.jpg,contextual_setting,Home Kitchen Setting
1041300.jpg,contextual_setting,Fine Dining Restaurant
3453323.jpg,contextual_setting,Home Kitchen Setting
3264723.jpg,contextual_setting,Home Kitchen Setting
3644948.jpg,contextual_setting,Indoor Dining Restaurant
1290485.jpg,contextual_setting,Fast-Food Restaurant Setting
1266239.jpg,contextual_setting,Home Kitchen Setting
2150887.jpg,contextual_setting,Informal Restaurant Setting
3369165.jpg,contextual_setting,Informal Restaurant Setting
2091649.jpg,contextual_setting,Fine Dining Restaurant
416339.jpg,contextual_setting,Fine Dining Restaurant
2140776.jpg,contextual_setting,Fine Dining Restaurant
1411472.jpg,contextual_setting,Casual Dining Establishment
3901703.jpg,contextual_setting,Fine Dining Restaurant
2802381.jpg,contextual_setting,Indoor Dining Restaurant
1088723.jpg,contextual_setting,Indoor Dining Restaurant
125669.jpg,contextual_setting,Indoor Dining Restaurant
3621153.jpg,contextual_setting,Fast-Food Restaurant Setting
859685.jpg,contextual_setting,Indoor Dining Restaurant
2504302.jpg,contextual_setting,Restaurant-Like Home Cooking
2582934.jpg,contextual_setting,Fine Dining Restaurant
3882120.jpg,contextual_setting,Indoor Dining Restaurant
1043579.jpg,contextual_setting,Fine Dining Restaurant
122339.jpg,contextual_setting,Fine Dining Restaurant
3840305.jpg,contextual_setting,Informal Restaurant Setting
1579317.jpg,contextual_setting,Home Kitchen Setting
2390235.jpg,contextual_setting,Fine Dining Restaurant
2844166.jpg,contextual_setting,Home Kitchen Setting
1587932.jpg,contextual_setting,Informal Restaurant Setting
1353969.jpg,contextual_setting,Informal Restaurant Setting
2777198.jpg,cooking_method,Baked Or Roasted
204643.jpg,cooking_method,Deep Frying With Oil
1438054.jpg,cooking_method,Grilled
1266914.jpg,cooking_method,Braised Or Simmered Method
43060.jpg,cooking_method,Baked Or Roasted
17835.jpg,cooking_method,Braised Or Simmered Method
221291.jpg,cooking_method,Fried Or Pan-Seared
81547.jpg,cooking_method,Baked Or Roasted
3345486.jpg,cooking_method,Baked Or Roasted
2367255.jpg,cooking_method,Braised Or Simmered Method
920014.jpg,cooking_method,Combination Of Grilling And Steaming
116205.jpg,cooking_method,Mixed Cooking Method
331185.jpg,cooking_method,Baked Or Roasted
2147574.jpg,cooking_method,Baked Or Roasted
3353357.jpg,cooking_method,Combination Of Grilling And Steaming
3805904.jpg,cooking_method,Baked Or Roasted
2228274.jpg,cooking_method,Baked Or Roasted
2478048.jpg,cooking_method,Baked Or Roasted
1593883.jpg,cooking_method,Deep Frying With Oil
2941936.jpg,cooking_method,Combination Of Grilling And Steaming
2055421.jpg,cooking_method,Baked Or Roasted
1653147.jpg,cooking_method,Baked Or Roasted
2323393.jpg,cooking_method,Baked Or Roasted
2860692.jpg,cooking_method,Baked Or Roasted
297526.jpg,cooking_method,Baked Or Roasted
162813.jpg,cooking_method,Baked Or Roasted
3433392.jpg,cooking_method,Combination Of Grilling And Steaming
3712855.jpg,cooking_method,Combination Of Grilling And Steaming
528024.jpg,cooking_method,Fried Or Pan-Seared
3257568.jpg,cooking_method,Baked Or Roasted
377092.jpg,cooking_method,Baked Or Roasted
2563550.jpg,cooking_method,Combination Of Grilling And Steaming
1232408.jpg,cooking_method,Deep Frying With Oil
1258212.jpg,cooking_method,Baked Or Roasted
360650.jpg,cooking_method,Baked Or Roasted
3048399.jpg,cooking_method,Baked Or Roasted
883821.jpg,cooking_method,Fried Or Pan-Seared
1294920.jpg,cooking_method,Fried Or Pan-Seared
1994172.jpg,cooking_method,Steamed
898352.jpg,cooking_method,Fried Or Pan-Seared
1599908.jpg,cooking_method,Baked Or Roasted
2778816.jpg,cooking_method,Fried Or Pan-Seared
2036876.jpg,cooking_method,Baked Or Roasted
2653908.jpg,cooking_method,Barbecue
707760.jpg,cooking_method,Steamed
1742446.jpg,cooking_method,Stir-Fry Cooking Method
938063.jpg,cooking_method,Fried Or Pan-Seared
2454716.jpg,cooking_method,Steamed
191302.jpg,cooking_method,Baked Or Roasted
1482554.jpg,cooking_method,Combination Of Grilling And Steaming
3719459.jpg,cooking_method,Baked Or Roasted
3637618.jpg,cooking_method,Fried Or Pan-Seared
2656659.jpg,cooking_method,Baked Or Roasted
365631.jpg,cooking_method,Baked Or Roasted
3799381.jpg,cooking_method,Braised Or Simmered Method
3347915.jpg,cooking_method,Baked Or Roasted
3287609.jpg,cooking_method,Steamed
1278456.jpg,cooking_method,Fried Or Pan-Seared
380024.jpg,cooking_method,Baked Or Roasted
1247495.jpg,cooking_method,Combination Of Grilling And Steaming
32666.jpg,cooking_method,Baked Or Roasted
2725340.jpg,cooking_method,Steamed
1184087.jpg,cooking_method,Steamed
619413.jpg,cooking_method,Fried Or Pan-Seared
963669.jpg,cooking_method,Grilled
3137442.jpg,cooking_method,Stir-Fry Cooking Method
3425912.jpg,cooking_method,Steamed
2464792.jpg,cooking_method,Baked Or Roasted
778875.jpg,cooking_method,Baked Or Roasted
2822696.jpg,cooking_method,Braised Or Simmered Method
291516.jpg,cooking_method,Braised Or Simmered Method
1041300.jpg,cooking_method,Baked Or Roasted
3453323.jpg,cooking_method,Baked Or Roasted
3264723.jpg,cooking_method,Combination Of Grilling And Steaming
3644948.jpg,cooking_method,Baked Or Roasted
1290485.jpg,cooking_method,Deep Frying With Oil
1266239.jpg,cooking_method,Combination Of Grilling And Steaming
2150887.jpg,cooking_method,Steamed
3369165.jpg,cooking_method,Dip-Based
2091649.jpg,cooking_method,Combination Of Grilling And Steaming
416339.jpg,cooking_method,Unknown
2140776.jpg,cooking_method,Baked Or Roasted
1411472.jpg,cooking_method,Unknown
3901703.jpg,cooking_method,Unknown
2802381.jpg,cooking_method,Combination Of Grilling And Steaming
1088723.jpg,cooking_method,Combination Of Grilling And Steaming
125669.jpg,cooking_method,Baked Or Roasted
3621153.jpg,cooking_method,Combination Of Grilling And Steaming
859685.jpg,cooking_method,Baked Or Roasted
2504302.jpg,cooking_method,Baked Or Roasted
2582934.jpg,cooking_method,Combination Of Grilling And Steaming
3882120.jpg,cooking_method,Deep Frying With Oil
1043579.jpg,cooking_method,Fried Or Pan-Seared
122339.jpg,cooking_method,Baked Sushi
3840305.jpg,cooking_method,Fried Or Pan-Seared
1579317.jpg,cooking_method,Fried Or Pan-Seared
2390235.jpg,cooking_method,Baked Or Roasted
2844166.jpg,cooking_method,Fried Or Pan-Seared
1587932.jpg,cooking_method,Combination Of Grilling And Steaming
1353969.jpg,cooking_method,Fried Or Pan-Seared
2777198.jpg,food_category,Entree Or Main Course
204643.jpg,food_category,Savory Course Or Appetizer
1438054.jpg,food_category,Multiple Course Meal Combination
1266914.jpg,food_category,Entree Or Main Course
43060.jpg,food_category,Entree Or Main Course
17835.jpg,food_category,Savory Course Or Appetizer
221291.jpg,food_category,Savory Course Or Appetizer
81547.jpg,food_category,Entree Or Main Course
3345486.jpg,food_category,Savory Course Or Appetizer
2367255.jpg,food_category,Savory Course Or Appetizer
920014.jpg,food_category,Entree Or Main Course
116205.jpg,food_category,Entree Or Main Course
331185.jpg,food_category,Entree Or Main Course
2147574.jpg,food_category,Desserts
3353357.jpg,food_category,Entree Or Main Course
3805904.jpg,food_category,Savory Course Or Appetizer
2228274.jpg,food_category,Baked Or Fried Foods
2478048.jpg,food_category,Entree Or Main Course
1593883.jpg,food_category,Seafood Main Course Dishes
2941936.jpg,food_category,Entree Or Main Course
2055421.jpg,food_category,Entree Or Main Course
1653147.jpg,food_category,Savory Course Or Appetizer
2323393.jpg,food_category,Entree Or Main Course
2860692.jpg,food_category,Entree Or Main Course
297526.jpg,food_category,Desserts
162813.jpg,food_category,Entree Or Main Course
3433392.jpg,food_category,Savory Course Or Appetizer
3712855.jpg,food_category,Entree Or Main Course
528024.jpg,food_category,Savory Course Or Appetizer
3257568.jpg,food_category,Entree Or Main Course
377092.jpg,food_category,Entree Or Main Course
2563550.jpg,food_category,Entree Or Main Course
1232408.jpg,food_category,Mixed Snacks Main Course
1258212.jpg,food_category,Entree Or Main Course
360650.jpg,food_category,Entree Or Main Course
3048399.jpg,food_category,Savory Course Or Appetizer
883821.jpg,food_category,Multiple Course Meal Combination
1294920.jpg,food_category,Baked Or Fried Foods
1994172.jpg,food_category,Savory Course Or Appetizer
898352.jpg,food_category,Entree Or Main Course
1599908.jpg,food_category,Savory Course Or Appetizer
2778816.jpg,food_category,Savory Course Or Appetizer
2036876.jpg,food_category,Entree Or Main Course
2653908.jpg,food_category,Entree Or Main Course
707760.jpg,food_category,Entree Or Main Course
1742446.jpg,food_category,Entree Or Main Course
938063.jpg,food_category,Multiple Course Meal Combination
2454716.jpg,food_category,Entree Or Main Course
191302.jpg,food_category,Savory Course Or Appetizer
1482554.jpg,food_category,Savory Course Or Appetizer
3719459.jpg,food_category,Entree Or Main Course
3637618.jpg,food_category,Entree Or Main Course
2656659.jpg,food_category,Entree Or Main Course
365631.jpg,food_category,Savory Course Or Appetizer
3799381.jpg,food_category,Entree Or Main Course
3347915.jpg,food_category,Savory Course Or Appetizer
3287609.jpg,food_category,Savory Course Or Appetizer
1278456.jpg,food_category,Savory Course Or Appetizer
380024.jpg,food_category,Entree Or Main Course
1247495.jpg,food_category,Entree Or Main Course
32666.jpg,food_category,Multiple Course Meal Combination
2725340.jpg,food_category,Unknown
1184087.jpg,food_category,Japanese Cuisine Sushi Main Courses
619413.jpg,food_category,Savory Course Or Appetizer
963669.jpg,food_category,Baked Or Fried Foods
3137442.jpg,food_category,Savory Course Or Appetizer
3425912.jpg,food_category,Desserts
2464792.jpg,food_category,Entree Or Main Course
778875.jpg,food_category,Entree Or Main Course
2822696.jpg,food_category,Entree Or Main Course
291516.jpg,food_category,Entree Or Main Course
1041300.jpg,food_category,Entree Or Main Course
3453323.jpg,food_category,Desserts
3264723.jpg,food_category,Entree Or Main Course
3644948.jpg,food_category,Savory Course Or Appetizer
1290485.jpg,food_category,Savory Course Or Appetizer
1266239.jpg,food_category,Entree Or Main Course
2150887.jpg,food_category,Savory Course Or Appetizer
3369165.jpg,food_category,Entree Or Main Course
2091649.jpg,food_category,Entree Or Main Course
416339.jpg,food_category,Savory Course Or Appetizer
2140776.jpg,food_category,Entree Or Main Course
1411472.jpg,food_category,Entree Or Main Course
3901703.jpg,food_category,Entree Or Main Course
2802381.jpg,food_category,Entree Or Main Course
1088723.jpg,food_category,Entree Or Main Course
125669.jpg,food_category,Baked Or Fried Foods
3621153.jpg,food_category,Entree Or Main Course
859685.jpg,food_category,Savory Course Or Appetizer
2504302.jpg,food_category,Savory Course Or Appetizer
2582934.jpg,food_category,Japanese Cuisine Sushi Main Courses
3882120.jpg,food_category,Baked Or Fried Foods
1043579.jpg,food_category,Entree Or Main Course
122339.jpg,food_category,Multiple Course Meal Combination
3840305.jpg,food_category,Savory Course Or Appetizer
1579317.jpg,food_category,Entree Or Main Course
2390235.jpg,food_category,Desserts
2844166.jpg,food_category,Entree Or Main Course
1587932.jpg,food_category,Mixed Snacks Main Course
1353969.jpg,food_category,Savory Course Or Appetizer
2777198.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
204643.jpg,food_presentation_aesthetics,Casual Dining Setting
1438054.jpg,food_presentation_aesthetics,Unknown
1266914.jpg,food_presentation_aesthetics,Artistic Arrangement
43060.jpg,food_presentation_aesthetics,Elegant Food Presentation
17835.jpg,food_presentation_aesthetics,Elegant Food Presentation
221291.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
81547.jpg,food_presentation_aesthetics,Elegant Food Presentation
3345486.jpg,food_presentation_aesthetics,Elegant Food Presentation
2367255.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
920014.jpg,food_presentation_aesthetics,Elegant Food Presentation
116205.jpg,food_presentation_aesthetics,Rustic And Casual Setting
331185.jpg,food_presentation_aesthetics,Artistic Arrangement
2147574.jpg,food_presentation_aesthetics,Elegant Food Presentation
3353357.jpg,food_presentation_aesthetics,Rustic And Casual Setting
3805904.jpg,food_presentation_aesthetics,Casual Dining Setting
2228274.jpg,food_presentation_aesthetics,Elegant Food Presentation
2478048.jpg,food_presentation_aesthetics,Rustic And Casual Setting
1593883.jpg,food_presentation_aesthetics,Casual Dining Setting
2941936.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
2055421.jpg,food_presentation_aesthetics,Rustic And Casual Setting
1653147.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
2323393.jpg,food_presentation_aesthetics,Elegant Food Presentation
2860692.jpg,food_presentation_aesthetics,Elegant Food Presentation
297526.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
162813.jpg,food_presentation_aesthetics,Rustic And Casual Setting
3433392.jpg,food_presentation_aesthetics,Rustic And Casual Setting
3712855.jpg,food_presentation_aesthetics,Casual Dining Setting
528024.jpg,food_presentation_aesthetics,Elegant Food Presentation
3257568.jpg,food_presentation_aesthetics,Elegant Food Presentation
377092.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
2563550.jpg,food_presentation_aesthetics,Casual Dining Setting
1232408.jpg,food_presentation_aesthetics,Casual Dining Setting
1258212.jpg,food_presentation_aesthetics,Casual Dining Setting
360650.jpg,food_presentation_aesthetics,Artistic Arrangement
3048399.jpg,food_presentation_aesthetics,Elegant Food Presentation
883821.jpg,food_presentation_aesthetics,Rustic And Casual Setting
1294920.jpg,food_presentation_aesthetics,Casual Dining Setting
1994172.jpg,food_presentation_aesthetics,Rustic And Casual Setting
898352.jpg,food_presentation_aesthetics,Casual Dining Setting
1599908.jpg,food_presentation_aesthetics,Elegant Food Presentation
2778816.jpg,food_presentation_aesthetics,Rustic And Casual Setting
2036876.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
2653908.jpg,food_presentation_aesthetics,Rustic And Casual Setting
707760.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
1742446.jpg,food_presentation_aesthetics,Artistic Arrangement
938063.jpg,food_presentation_aesthetics,Elegant Food Presentation
2454716.jpg,food_presentation_aesthetics,Elegant Food Presentation
191302.jpg,food_presentation_aesthetics,Rustic And Casual Setting
1482554.jpg,food_presentation_aesthetics,Rustic And Casual Setting
3719459.jpg,food_presentation_aesthetics,Elegant Food Presentation
3637618.jpg,food_presentation_aesthetics,Rustic And Casual Setting
2656659.jpg,food_presentation_aesthetics,Elegant Food Presentation
365631.jpg,food_presentation_aesthetics,Rustic And Casual Setting
3799381.jpg,food_presentation_aesthetics,Formal And Elegant Presentations
3347915.jpg,food_presentation_aesthetics,Casual Dining Setting
3287609.jpg,food_presentation_aesthetics,Rustic And Casual Setting
1278456.jpg,food_presentation_aesthetics,Rustic And Casual Setting
380024.jpg,food_presentation_aesthetics,Rustic And Casual Setting
1247495.jpg,food_presentation_aesthetics,Artistic Arrangement
32666.jpg,food_presentation_aesthetics,Elegant Food Presentation
2725340.jpg,food_presentation_aesthetics,Artistic Arrangement
1184087.jpg,food_presentation_aesthetics,Elegant Food Presentation
619413.jpg,food_presentation_aesthetics,Casual Dining Setting
963669.jpg,food_presentation_aesthetics,Casual Dining Setting
3137442.jpg,food_presentation_aesthetics,Elegant Food Presentation
3425912.jpg,food_presentation_aesthetics,Casual Dining Setting
2464792.jpg,food_presentation_aesthetics,Elegant Food Presentation
778875.jpg,food_presentation_aesthetics,Elegant Food Presentation
